Name,Link
"Mild High Club - Homage (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/HomageDrums.zip?download=true
Sovereign The Reaper (Mass Effect) (RVC V2 - OV2Super Pretrain) (400 Epochs) (RMVPE),https://huggingface.co/Gloxiderri/Sovereign_The_Reaper/resolve/main/Sovereign%20The%20Reaper.zip?download=true
Nene Amano (production kawaii / VTuber) (RVC v2) - 340 Epochs,https://huggingface.co/sxndypz/rvc-v2-models/resolve/main/nene_amano.zip
SAS Counter Terrorist (CSGO) (RVC V2-TITAN Pretrai) (260 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/SAS_counter_terrorist/resolve/main/sas_counter_terrorist_e260_s8320.zip?download=true
"Lincoln Loud (The Loud House, seasons 3-4, Tex Hammond) (RVC V2, RMVPE, OV2) [500 Epochs]",https://huggingface.co/iamalexcaspian/LincolnLoud-TLH-TexHammond/resolve/main/LincolnLoud-TLH-TexHammond.zip?download=true
Helado Oscuro EF (Youtuber) (RMVPE) (TITAN) (RVC V2 - 400 Epochs),https://huggingface.co/AmanBOT/HeladoOscuroEF/resolve/main/HeladoOscuroEF.zip?download=true
TF2 Spy (RVC V2_TITAN Pretrain) (160 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Spy/resolve/main/TF2_Spy_v2.zip?download=true
TF2 Sinper (RVC V2-TITAN Pretrain) (220 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Sniper/resolve/main/TF2_Sniper_v2.zip?download=true
Foo Fighters (Dave Grohl) - (RVC V2 - 400 Epochs - Titan - RMVPE),https://huggingface.co/AI-Wheelz/FooFighters_V2/resolve/main/FooFighters.zip?download=true
TF2 Heavy (RVC V2-TITAN Pretrain) (200 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Heavy/resolve/main/TF2_Heavy_v2.zip?download=true
Indomitable (Azur Lane) [JP] (RVC v2) (320 Epochs),https://huggingface.co/NoIdea4Username/NoIdeaRVCCollection/resolve/main/Indomitable-JP.zip?download=true
TF2 Demoman (RVC V2-TITAN Pretrain) (200 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Demoman/resolve/main/TF2_Demoman_e200_s9400.zip?download=true
"Cavity Sam (Operation Mobile Game) (RVC V2) (TITAN, RMVPE, 200 Epochs)",https://huggingface.co/GoldoBasic/CavitySam/resolve/main/cavity-sam-operation-gamr.zip?download=true
"Steven Pimling (Smiling Friends) (Michael Cusack) (RVC v2, RMVPE) (250 Epochs)",https://huggingface.co/MrSneakyD/SmilingFriends_RVC_Models/resolve/main/StevenPimling.zip
TF2 Engineer (RVC V2-TITAN Pretrain) (140 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Engineer/resolve/main/TF2_Engineer_e140_s6160.zip?download=true
Niko Bellic (RVC v2) (TITAN-Medium) (RVMPE-GPU) (200 Epochs),https://huggingface.co/FurnTheFurnace/RVCModels/resolve/main/NikoBellic_e200_s4200.zip**
TF2 Scout (RVC V2-TITAN Pretrain) (270 Epochs) (RMVPE),https://huggingface.co/Coolwowsocoolwow/TF2_Scout/resolve/main/TF2_Scout.zip?download=true
"Rex (Toy Story series) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/RexToyStory.zip
"Buddy Pine/Syndrome (The Incredibles) (RVC v2, RMVPE) (350 epochs)",https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/SyndromeTheIncredibles.zip
Post Malone (CREPE) (RVC V2-48k) 400 epochs,https://huggingface.co/SimplCup/PostMalone/resolve/main/postmalone.zip?download=true
"The Score & Dreamers - Bad Days (Drums) (RVC v2, RMVPE, TITAN, 300 epochs)",https://huggingface.co/RegalHyperus/DrumKitRVCModels/resolve/main/BadDaysDrums.zip?download=true
Yourself/Silly Billy (FNF': Hit Single) | RVC v2 | RVMPE | TITAN | 300 Epochs,https://huggingface.co/Mlaofmd/silly-homework-shit/resolve/main/yourself.zip?download=true
CaseOh - Case Baker  (RVC V2) (rmvpe) (340 Epochs),https://huggingface.co/Freaky98/CaseOh_rvc-v2-340e/resolve/main/CaseOh-rvc-v2-340e.zip?download=true
